held_out,const__coef,const__t,HHI__coef,HHI__t,Supplier_HHI__coef,Supplier_HHI__t,ATM_IV__coef,ATM_IV__t,tot_return_index_gross_dvds__coef,tot_return_index_gross_dvds__t
2005,-0.003771449589608053,-1.1995392967038496,0.005577008833553701,0.5070996226283963,-0.07149179294827332,-4.46876867499303,0.012116706760668254,0.9610545886585364,3.333153008635713e-05,1.1945819526296513
2006,-0.0034833140487941397,-1.1410637004199413,0.007254354560763442,0.6805260598398644,-0.07775457931621194,-4.5146948478574656,0.010728388271734435,0.8305015234055714,4.325766937728336e-05,1.353340652800545
2007,-0.005594348517589372,-1.6405398115074634,0.003224756786726905,0.2779854010590429,-0.04750859493196377,-2.5036230636986168,0.012047184191701506,0.8174331365111861,4.5330736109516876e-05,1.0633244046438375
2008,0.0013993808946087757,0.6425166157285465,-0.0031733381919950023,-0.33499273176890865,-0.06440963858144563,-5.469147559944,-0.010206737163624482,-1.0429486725075603,3.2460687978708654e-05,1.3013261123071707
2009,-0.0057943528507628335,-2.1605714068135993,-0.0030097927155648295,-0.35140252262133986,-0.09178810759132755,-5.433750807920179,0.0429038354955117,3.6647630288833324,2.2182272938105838e-05,0.7774411391980436
2010,-0.0036705130889614834,-1.2460223369944945,0.004239074959800494,0.45870752089991607,-0.07158146719357779,-5.117147466228238,0.01219085963427669,0.9099331108943982,3.7319657102944085e-05,1.1709145168987785
2011,-0.0035558547397453208,-1.2189050770076222,0.005246633575430598,0.5932405266472519,-0.07060549589258942,-5.070734852447152,0.011645851935284118,0.881113336462974,3.957986567541904e-05,1.2434230691401258
2012,-0.003465286520932912,-1.1814293927016422,0.004628142527698238,0.5206271108523675,-0.07080734761185431,-4.964497979630191,0.011284119990658792,0.8792269344902529,3.6129666756529667e-05,1.0981467825667872
2013,-0.0034258957220526195,-1.17052887527524,0.0040528256311336995,0.44762942128160693,-0.07134968460860164,-4.943902858110952,0.010877832723212875,0.8822199189066217,4.204959211168449e-05,1.3054351194561387
2014,-0.0038050066350262734,-1.2110603398626085,0.006374282068290276,0.692752994862527,-0.06759688068006384,-4.9544695666780765,0.011227873857736423,0.8191757694912711,3.884357520527352e-05,1.2525283888765326
2015,-0.003729812795947686,-1.3596908682465976,0.008297366065955334,0.9702111652385477,-0.06869844993705104,-5.414394929467735,0.01009847399246186,0.791666880232173,5.5243998228155456e-05,1.9804762726097396
2016,-0.0021904517239068914,-0.7077306778708559,0.004869068560980368,0.43490069859222663,-0.06042170384064543,-4.718479578245531,0.007362374617268844,0.5791977140917756,5.909251456102018e-06,0.18274737386575815
2017,-0.0024289909524138594,-0.790372759655079,0.0032572943803813766,0.3571841804517032,-0.07195350262657017,-5.141036156981296,0.010859197675705713,0.8539118466906583,2.9848434244734215e-05,0.9969149924762494
2018,-0.003981961053981751,-1.2496950151258077,0.014202570983956395,1.4705647737972967,-0.07015908574834079,-4.508671203064417,0.010833539964441257,0.8416411269610422,3.863392411258739e-05,1.1318098185234202
2019,-0.0037627840361020228,-1.1984883861563176,0.00544007861424637,0.5040878528052988,-0.06938207691846125,-4.22143121492355,0.011196761629151885,0.8847502170587753,4.420951650547393e-05,1.1334697098277615
