Model,Variable,Full coef,Full t,Median coef,Min coef,Max coef,IQR width,Same sign %,Sig at 5%,Folds
M1,Supplier_HHI,-0.06938401276388961,-4.959125638092825,-0.07060549589258942,-0.09178810759132755,-0.04750859493196377,0.0033889647623681213,100.0,100.0,15
M3A,HHI,-0.28604024277159246,-5.469819500346362,-0.2837733796892065,-0.3684981495984023,0.1239394790721567,0.03139481877235345,93.33333333333333,80.0,15
M3A,Supplier_HHI,-0.06558164629766416,-3.383766606295275,-0.06630921271850373,-0.07983506552973912,-0.037740742407627426,0.006032169062191256,100.0,93.33333333333333,15
M3A,HHI_x_Real Estate,0.7054689034646298,1.8121605946191492,0.6862945375359976,-13.529091900204463,4.774012325666123,0.15513566248190702,93.33333333333333,26.666666666666668,15
M3A,HHI_x_Health Care,0.37215789029269236,4.238681584519625,0.3726631558429869,-0.032389260751474386,0.4855941210578341,0.09315555910861062,93.33333333333333,80.0,15
M3A,HHI_x_Industrials,0.31643972189019914,5.611777212499545,0.32019019303919377,-0.09194454916736185,0.40530767051743977,0.05381366321273834,93.33333333333333,80.0,15
M3A,HHI_x_Energy,0.30522128548927185,5.231311601139593,0.3017752930508304,-0.10493319627813023,0.37297212895699067,0.032592507752339905,93.33333333333333,80.0,15
M3B,SuppHHI_x_Real Estate,0.34035000417253397,0.9338462257852254,0.3388998412304133,-5.285403354137476,2.7961282159801217,0.08853587970450938,80.0,26.666666666666668,15
M3B,SuppHHI_x_Financials,0.57798257112219,1.3838966751955235,0.5772706514553826,-0.8289878915644748,1.6667347757113407,0.10729720031990908,93.33333333333333,13.333333333333334,15
M3B,SuppHHI_x_Health Care,0.4905529828194432,1.197040242390899,0.4998875703126057,-0.8955261536850515,1.600178002637433,0.1451257175122636,93.33333333333333,13.333333333333334,15
M3B,SuppHHI_x_Industrials,0.3288262275141644,0.9181839636183179,0.3324019505746997,-1.1053927994087194,1.417747253642503,0.062366951550201555,93.33333333333333,13.333333333333334,15
M3C,SuppHHI_x_Real Estate,0.7275566454374105,2.370283606006817,0.7248680444038266,-2.4277739017524347,3.948084845023084,0.017423784136559428,80.0,93.33333333333333,15
M3C,SuppHHI_x_Industrials,0.6054204743509589,2.2891489844816806,0.616368508221518,-1.4004603581837403,1.095510076313578,0.08465764289312971,93.33333333333333,66.66666666666666,15
