Model,Variable,Coef,Clustered t,DK6 t,DK12 t,Sig (clust),Sig (DK6),Sig (DK12)
M1,HHI,-0.007251945469145944,-1.0638015215501289,-0.7028073654114663,-0.7369228143748621,,,
M1,Supplier_HHI,-0.07579608979159486,-5.222666597848765,-2.4339812231713256,-2.4438819386663213,***,**,**
M2,HHI,0.0023498675380534298,0.2084464389883174,0.21713239511561433,0.2103247967799583,,,
M2,Hub_Shock,0.0014361994974725685,2.526439331991937,1.8957131018781328,1.8184626975788867,**,*,*
M3A,HHI,-0.08591786486374454,-4.942396957784866,-2.5882670761780955,-2.6730421443215477,***,***,***
M3A,Supplier_HHI,-0.06319009475340003,-4.6469102235374615,-1.7764974962064215,-1.7973297063088858,***,*,*
M3A,HHI_x_Consumer Discretionary,0.05923327615553415,3.200657510199996,1.6035806876961276,1.6461965320352625,***,,*
M3A,HHI_x_Consumer Staples,0.10071494531059659,3.898067631353281,1.9045203946311964,1.8116373512544823,***,*,*
M3A,HHI_x_Energy,0.10738369194648398,4.487640900495236,2.938469000870175,2.9835404248789676,***,***,***
M3A,HHI_x_Financials,0.03877620602481569,0.5097872476790652,0.22822382772368388,0.20421279513079482,,,
M3A,HHI_x_Health Care,0.16274373690350072,3.181990182481408,2.2855529934996417,2.235076159087723,***,**,**
M3A,HHI_x_Industrials,0.10958429048991693,5.6774459518688065,2.5420799824141618,2.637869126098593,***,**,***
M3A,HHI_x_Materials,0.12461234140484975,4.2913915644818275,2.1764979405175415,1.9254807564100263,***,**,*
M3A,HHI_x_Real Estate,0.29757696247077814,3.5200685942074537,0.9537697801089124,0.8957564117756937,***,,
M3A,HHI_x_Technology,0.013141513989413312,0.5110043584371657,0.23847597166054454,0.22818508857854813,,,
M3A,HHI_x_Utilities,0.13774186529649898,1.351255636902478,0.6670586974019809,0.6010651718005351,,,
M3B,HHI,-0.09957556469421845,-5.654824527059478,-3.072360358499556,-3.159703174730405,***,***,***
M3B,Supplier_HHI,0.02813647269878997,0.5697954038874817,0.2784505662056397,0.3196082098141542,,,
M3B,SuppHHI_x_Real Estate,0.4057673121186791,4.058390595682636,0.7680926367550942,0.9283616691155928,***,,
M3B,SuppHHI_x_Financials,0.2979678345075659,3.020758877686299,1.5926585067795904,1.7604833464571013,***,,*
M3B,SuppHHI_x_Health Care,0.19474546699417017,3.0086031458675038,1.290627325911586,1.22503465777389,***,,
M3B,SuppHHI_x_Industrials,0.11806893082093017,3.3275404575173377,0.9779825576094959,0.9629138907122922,***,,
M3C,HHI,-0.017449547969305614,-1.4122232582010525,-1.1794735989958787,-1.239522994215199,,,
M3C,Supplier_HHI,0.028087449649286875,0.4999583820986198,0.3198900040346527,0.36165692966645047,,,
M3C,SuppHHI_x_Real Estate,0.3621231801126107,3.26395845368204,0.7004741836879402,0.876830792120546,***,,
M3C,SuppHHI_x_Industrials,0.12127674670854237,2.3802436379899876,1.1461671404335776,1.1316353272661976,**,,
